Typ,Nr,Namn,Address1,Address2,Address3,Address4,Address5,Telefon,ButiksTyp,Tjanster,SokOrd,Oppettider,RT90x,RT90y
Ombud,051309-91A,Ica Supermarket Rimforsa,Kalmarvägen 24,,590 43,RIMFORSA,Östergötlands län,0494-200 12,,,KINDA;ÖSTERGÖTLAND,,6445939,1492930
Ombud,056102-91A,Pepparkvarnen Nära dig,Grebovägen 17,,585 95,LINKÖPING,Östergötlands län,013-550 19,,,ÖSTERGÖTLAND;ÅTVIDABERG,,6464232,1503482
Ombud,056104-90A,Tempo Björsäter,Björsäter,,597 94,ÅTVIDABERG,Östergötlands län,0120-600 47,,,ÖSTERGÖTLAND;ÅTVIDABERG,,6468204.791,1512950.505
Ombud,056104-91A,Sjöberga Lanthandel,Kvarnvik Sjöberga,,597 96,ÅTVIDABERG,Östergötlands län,0120-400 83,,,ÖSTERGÖTLAND; ÅTVIDABERG,,6452628,1533265
Ombud,056203-91C,Handlarn i Igelfors,Regnavägen 8,,612 95,FINSPÅNG,Östergötlands län,0122-720 21,,,,,6524948.44,1493879.853
Ombud,056204-91C,Coop Nära Rejmyre,Glasbruksvägen 32,,617 92,REJMYRE,Östergötlands län,010 7474 580,,,Östergötaland;Östergötalands län,,6523085.157,1507272.508
Ombud,056302-90B,Matöppet Ringarum,Gamla Landsvägen 42,,615 94,RINGARUM,Östergötlands län,0121-300 09,,,ÖSTERGÖTLAND;VALDEMARSVIK,,6467920,1537568
Ombud,058009-91B,Ica Nära Bestorp,Bonäsvägen 4,,589 65,BESTORP,Östergötlands län,013-40013,,,,,6456746.333,1495871.859
Ombud,058010-92B,"Skeda Udde, Pepparkvarnens livs",Haraldsbovägen 12,,585 97,LINKÖPING,Östergötlands län,013-870 50,,,Östergötaland;Östergötalands län,,6463184.671,1485605.548
Ombud,058011-90A,Handlarn Nykil,Nykil,,590 52,NYKIL,Östergötlands län,013-33 01 20,,,ÖSTERGÖTLAND;LINKÖPING,,6462826,1479015
